subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-082b15,A-aa9511,2024-02-09,NULL,Enterprise,97,19303,231636,0,0,0,0,annual,1
S-434140,A-075038,2024-02-25,NULL,Pro,17,833,9996,0,0,0,0,annual,1
S-c07ede,A-cea1f0,2024-10-07,NULL,Pro,8,392,4704,0,0,0,0,annual,0
S-287914,A-a1b80b,2024-08-15,NULL,Pro,16,784,9408,0,0,0,0,annual,1
S-b3bd43,A-b2225d,2024-11-03,NULL,Pro,50,2450,29400,0,0,0,0,monthly,0
S-4c82da,A-b9eed8,2024-08-01,NULL,Pro,11,539,6468,0,0,0,0,monthly,0
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,0,0,0,1,monthly,1
S-b5643b,A-9f9299,2024-06-11,NULL,Enterprise,28,5572,66864,0,0,0,0,annual,0
S-49a9aa,A-10b8f2,2023-06-16,NULL,Basic,51,969,11628,0,0,0,0,annual,1
S-2877e6,A-95b24a,2024-06-28,NULL,Enterprise,38,0,0,1,1,1,0,monthly,1
S-8c10c1,A-0651a4,2024-12-25,NULL,Enterprise,65,12935,155220,0,0,0,0,annual,1
S-d7d398,A-fb186e,2024-12-28,NULL,Enterprise,29,0,0,1,0,0,0,annual,1
S-ddad91,A-40906c,2024-06-21,NULL,Enterprise,92,0,0,1,0,0,0,annual,0
S-6762fa,A-40a557,2024-02-12,NULL,Enterprise,16,3184,38208,0,0,0,0,annual,1
S-bb1cf1,A-3a5ad8,2024-09-07,NULL,Enterprise,9,0,0,1,1,0,0,monthly,0
S-a805a5,A-2789e3,2024-09-18,NULL,Basic,33,627,7524,0,0,0,0,monthly,1
S-da0a69,A-49b828,2023-05-11,NULL,Pro,6,294,3528,0,0,0,0,monthly,1
S-59c5d7,A-c16b88,2024-10-19,NULL,Basic,35,665,7980,0,1,0,0,monthly,1
S-d3faae,A-5c9849,2024-11-12,NULL,Basic,19,361,4332,0,0,0,0,monthly,1
S-73a4e4,A-993085,2024-09-09,NULL,Pro,31,1519,18228,0,0,0,0,monthly,1
S-35c8a3,A-e4144b,2024-12-22,NULL,Enterprise,41,8159,97908,0,0,0,0,annual,1
S-99fbf7,A-7dacce,2024-09-10,NULL,Enterprise,12,2388,28656,0,0,0,0,annual,1
S-e97b9f,A-a0ca4e,2024-03-16,NULL,Enterprise,12,2388,28656,0,0,0,0,annual,1
S-763d33,A-ef84cf,2024-07-25,NULL,Basic,23,437,5244,0,0,1,0,annual,0
S-323782,A-7920cc,2024-02-22,NULL,Basic,39,741,8892,0,0,0,0,monthly,1
S-1cff18,A-2789e3,2024-10-03,NULL,Basic,11,209,2508,0,0,0,0,monthly,1
S-ad39ef,A-e40f45,2024-08-25,NULL,Pro,21,0,0,1,1,0,0,annual,1
S-bf806d,A-7c5768,2024-09-21,NULL,Basic,62,1178,14136,0,0,0,0,annual,1
S-36f6ec,A-ccb686,2024-08-16,NULL,Pro,21,1029,12348,0,1,0,0,monthly,1
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,1,0,0,1,monthly,1
S-b9fc6c,A-2ebb4b,2023-06-16,NULL,Basic,41,779,9348,0,0,0,0,annual,1
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,0,0,0,1,monthly,1
S-e912e6,A-a8d89d,2023-12-12,NULL,Enterprise,78,15522,186264,0,0,0,0,monthly,1
S-fef85a,A-7f8241,2024-08-06,NULL,Pro,34,1666,19992,0,0,0,0,annual,1
S-36d5c9,A-54ecc2,2023-09-16,NULL,Enterprise,11,2189,26268,0,0,0,0,monthly,1
S-b9ff15,A-95b24a,2024-01-08,NULL,Enterprise,43,8557,102684,0,0,0,0,annual,0
S-10bd09,A-bbc346,2024-09-03,NULL,Basic,50,950,11400,0,0,0,0,annual,1
S-12bfc8,A-31ab9a,2024-12-06,NULL,Enterprise,29,5771,69252,0,0,0,0,monthly,0
S-f5c472,A-faa28c,2024-07-09,NULL,Basic,48,912,10944,0,0,0,0,monthly,1
S-dbc1ca,A-8adedc,2024-04-24,NULL,Enterprise,14,2786,33432,0,0,0,0,annual,1
S-dc6dfd,A-e08cd3,2024-09-30,NULL,Pro,67,3283,39396,0,0,0,0,monthly,1
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,Enterprise,10,1990,23880,0,0,0,1,annual,0
S-9dfce0,A-e6afc1,2024-08-30,NULL,Pro,2,98,1176,0,0,0,0,annual,1
S-9cb6a7,A-7f29a7,2024-12-21,NULL,Basic,41,779,9348,0,0,0,0,monthly,1
S-dabcd2,A-3ce5b8,2024-09-22,NULL,Pro,28,0,0,1,0,0,0,monthly,1
S-8c3cc8,A-b2225d,2024-10-17,NULL,Basic,47,0,0,1,0,0,0,monthly,1
S-2923fc,A-fa3095,2024-07-08,NULL,Enterprise,70,13930,167160,0,0,0,0,annual,1
S-f0a2e5,A-55f257,2024-06-05,NULL,Basic,23,0,0,1,0,0,0,annual,1
S-025bea,A-9affe6,2024-06-25,NULL,Pro,17,833,9996,0,1,0,0,monthly,1
S-0e499f,A-296d7c,2024-08-17,NULL,Pro,16,784,9408,0,0,0,0,annual,0
S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,1,0,0,1,monthly,1
S-b5b9a5,A-812c5b,2024-07-25,NULL,Basic,55,1045,12540,0,0,0,0,monthly,1
S-8e45ba,A-7f8241,2023-12-13,NULL,Basic,34,646,7752,0,0,0,0,annual,0
S-37ed34,A-d4ac0e,2024-07-07,NULL,Enterprise,20,3980,47760,0,0,0,0,annual,1
S-65dbf3,A-17939a,2024-12-28,NULL,Basic,36,684,8208,0,0,0,0,monthly,1
S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,1,0,0,1,annual,1
S-6c969d,A-855a48,2024-05-08,NULL,Basic,14,266,3192,0,0,0,0,monthly,0
S-522aef,A-f3ff05,2024-08-22,NULL,Pro,4,196,2352,0,0,0,0,annual,1
S-82db05,A-417d2f,2024-12-09,NULL,Pro,26,1274,15288,0,0,0,0,monthly,1
S-162596,A-462d45,2024-02-29,NULL,Pro,18,0,0,1,0,0,0,monthly,1
S-f703bd,A-202b67,2024-09-04,NULL,Pro,11,539,6468,0,0,0,0,monthly,1
S-a1d6ad,A-eafc6e,2024-09-01,NULL,Pro,27,1323,15876,0,0,0,0,monthly,1
S-8b1fc1,A-309e54,2024-12-26,NULL,Basic,15,0,0,1,0,0,0,monthly,1
S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,0,0,0,1,annual,1
S-fa5301,A-ba6516,2024-03-14,NULL,Pro,55,0,0,1,0,0,0,monthly,0
S-69937b,A-08e34e,2024-08-08,NULL,Pro,14,686,8232,0,0,0,0,annual,0
S-f2537d,A-e43bf7,2024-01-24,NULL,Pro,44,2156,25872,0,0,0,0,monthly,1
S-27f7b2,A-a1b80b,2024-04-03,NULL,Basic,38,722,8664,0,0,0,0,annual,1
S-9c2b8e,A-443f6f,2024-12-26,NULL,Basic,19,361,4332,0,1,0,0,annual,1
S-a4f26d,A-32728c,2023-05-21,NULL,Pro,20,980,11760,0,0,0,0,monthly,1
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,Pro,53,2597,31164,0,0,0,1,annual,1
S-367dee,A-e19ff6,2024-06-29,NULL,Pro,1,49,588,0,0,0,0,annual,1
S-3b9ad8,A-6e08f3,2024-12-24,NULL,Enterprise,28,5572,66864,0,0,0,0,monthly,0
S-c9f8c1,A-544d0a,2024-07-23,NULL,Enterprise,5,995,11940,0,0,1,0,monthly,1
S-57cd05,A-8b0451,2024-10-26,NULL,Basic,41,779,9348,0,0,0,0,annual,1
S-e505c1,A-8ae3fc,2024-09-17,NULL,Pro,34,1666,19992,0,0,0,0,annual,1
S-121b4d,A-8ae3fc,2024-11-22,NULL,Basic,9,171,2052,0,0,0,0,annual,1
S-72b4f2,A-4437e4,2024-02-06,NULL,Pro,49,2401,28812,0,0,0,0,annual,1
S-c9b0cc,A-4d1e75,2024-10-11,NULL,Enterprise,38,7562,90744,0,0,0,0,monthly,1
S-27c993,A-098560,2024-11-17,NULL,Enterprise,4,796,9552,0,0,0,0,monthly,1
S-8b9889,A-ac9111,2024-08-18,NULL,Pro,21,1029,12348,0,0,0,0,monthly,1
S-2214c6,A-3c1a3f,2024-10-07,NULL,Pro,82,4018,48216,0,0,0,0,monthly,1
S-ce695e,A-cb6cc6,2024-05-25,NULL,Enterprise,13,0,0,1,0,0,0,annual,0
S-066d80,A-9b9fe9,2024-08-17,NULL,Pro,5,245,2940,0,0,0,0,monthly,1
S-228457,A-029f69,2024-05-24,NULL,Enterprise,24,4776,57312,0,0,0,0,annual,1
S-e50612,A-c7e58b,2024-07-15,NULL,Basic,13,247,2964,0,0,0,0,annual,0
S-64fba3,A-00bed1,2024-07-16,NULL,Enterprise,28,5572,66864,0,0,0,0,annual,1
S-2372d2,A-cea1f0,2024-12-22,NULL,Enterprise,21,4179,50148,0,0,0,0,annual,0
S-2661dc,A-c37cab,2024-08-07,NULL,Pro,20,0,0,1,0,0,0,monthly,1
S-427275,A-4c38bc,2024-07-14,NULL,Enterprise,36,7164,85968,0,0,0,0,annual,1
S-628729,A-157070,2024-10-05,NULL,Enterprise,23,4577,54924,0,0,1,0,monthly,1
S-e260ff,A-bcf87c,2024-12-09,NULL,Enterprise,21,4179,50148,0,0,0,0,annual,1
S-89c03a,A-8ae3fc,2024-09-20,NULL,Pro,9,441,5292,0,0,0,0,monthly,1
S-86455a,A-1b9609,2023-12-01,NULL,Pro,12,588,7056,0,0,0,0,monthly,1
S-3660bb,A-474ad4,2024-12-14,NULL,Enterprise,10,0,0,1,0,0,0,monthly,0
S-6bf7d7,A-9bfc9f,2024-03-23,NULL,Pro,53,2597,31164,0,0,1,0,annual,0
S-feccd8,A-812c5b,2024-12-22,NULL,Enterprise,55,10945,131340,0,0,0,0,monthly,1
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176,14112,0,0,1,1,annual,1
S-0e0578,A-de58ca,2023-07-09,NULL,Basic,15,285,3420,0,0,0,0,monthly,1
S-74538d,A-e60f9d,2024-11-13,NULL,Pro,46,2254,27048,0,0,0,0,annual,1
S-c2a6cb,A-9affe6,2023-10-19,NULL,Enterprise,7,1393,16716,0,1,0,0,annual,0
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722,8664,0,0,0,1,annual,1
S-3cc352,A-d27f50,2024-08-06,NULL,Pro,44,2156,25872,0,0,0,0,monthly,1
S-124207,A-fdfc91,2023-08-31,NULL,Basic,29,551,6612,0,0,0,0,annual,1
S-76e7d9,A-712f1c,2024-02-09,NULL,Enterprise,44,8756,105072,0,0,0,0,monthly,1
S-44f453,A-19b2c8,2024-02-10,NULL,Enterprise,20,3980,47760,0,0,0,0,monthly,1
S-03a97f,A-f51f16,2024-03-15,NULL,Pro,60,2940,35280,0,0,0,0,annual,1
S-80c01c,A-d3c88e,2024-12-16,NULL,Basic,16,304,3648,0,1,0,0,annual,1
S-666181,A-eb1312,2024-10-09,NULL,Basic,71,1349,16188,0,0,0,0,annual,1
S-401496,A-68f37c,2023-08-13,2024-06-22,Enterprise,4,796,9552,0,1,0,1,monthly,1
S-ca0c98,A-fda07f,2024-11-28,NULL,Pro,7,343,4116,0,0,0,0,monthly,1
S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,0,0,0,1,monthly,1
S-183073,A-e7a1e2,2024-07-19,NULL,Enterprise,14,2786,33432,0,0,0,0,monthly,1
S-22f503,A-7a0d69,2024-09-06,NULL,Basic,6,114,1368,0,0,0,0,annual,1
S-7de1b7,A-4d1e75,2024-10-27,NULL,Enterprise,20,3980,47760,0,0,0,0,annual,1
S-c7f564,A-902ef7,2024-11-23,NULL,Pro,83,0,0,1,1,0,0,annual,1
S-ceffe9,A-89ee83,2024-11-23,NULL,Enterprise,2,398,4776,0,0,0,0,monthly,1
S-9b2c95,A-e60f9d,2024-11-24,2024-12-05,Pro,29,0,0,1,0,0,1,annual,1
S-cf6ec1,A-d77f4c,2024-08-04,NULL,Enterprise,22,4378,52536,0,1,0,0,monthly,0
S-a44d72,A-b30291,2024-06-12,NULL,Pro,18,882,10584,0,0,0,0,monthly,1
S-0b0ffa,A-180abf,2024-01-17,2024-04-19,Basic,64,0,0,1,0,0,1,annual,1
S-02af5d,A-d82ef9,2024-08-07,NULL,Enterprise,26,0,0,1,0,0,0,annual,1
S-d07c53,A-249769,2024-09-24,NULL,Basic,21,399,4788,0,0,0,0,annual,1
S-c67b80,A-eb2fdc,2024-02-24,NULL,Pro,31,1519,18228,0,0,0,0,monthly,0
S-5d68fb,A-5f2961,2024-12-02,NULL,Pro,49,2401,28812,0,0,0,0,annual,1
S-fc9cc3,A-9b9fe9,2024-01-01,NULL,Pro,24,1176,14112,0,0,0,0,annual,1
S-17f71d,A-e40f45,2024-05-15,NULL,Pro,44,2156,25872,0,1,0,0,monthly,1
S-5895f0,A-bcf664,2023-10-05,NULL,Basic,8,0,0,1,0,0,0,annual,1
S-b042d9,A-0e966d,2024-11-15,NULL,Enterprise,11,2189,26268,0,0,0,0,annual,1
S-ffd1ee,A-f03140,2024-11-06,NULL,Pro,27,0,0,1,0,0,0,annual,1
S-9c4bcd,A-a7bd4b,2024-05-14,NULL,Pro,5,245,2940,0,1,0,0,monthly,1
S-4f91d0,A-7f8241,2024-10-12,NULL,Basic,34,646,7752,0,0,0,0,monthly,0
S-672f1b,A-eafc6e,2023-08-08,NULL,Pro,27,1323,15876,0,0,0,0,monthly,1
S-101201,A-d49cc5,2024-02-13,NULL,Basic,50,950,11400,0,0,0,0,annual,1
S-eea643,A-54ecc2,2024-10-30,NULL,Enterprise,28,5572,66864,0,0,0,0,monthly,1
S-5f9a67,A-6da850,2023-12-04,NULL,Pro,5,245,2940,0,0,0,0,annual,1
S-327e7c,A-4e960a,2024-02-07,NULL,Enterprise,17,0,0,1,0,0,0,annual,1
S-d97c5f,A-533452,2024-11-25,NULL,Pro,101,4949,59388,0,0,0,0,monthly,1
S-029c20,A-f44180,2024-12-13,NULL,Basic,10,0,0,1,0,0,0,annual,0
S-a74462,A-7c83a1,2024-05-14,NULL,Pro,48,2352,28224,0,0,0,0,annual,1
S-02ec76,A-e60f9d,2024-09-17,NULL,Pro,29,1421,17052,0,0,0,0,monthly,1
S-d1c9e3,A-075038,2024-01-09,NULL,Basic,17,323,3876,0,0,0,0,annual,1
S-51d8db,A-cc1d8d,2024-12-30,NULL,Enterprise,6,1194,14328,0,0,0,0,annual,1
S-c3c85e,A-271f46,2024-10-31,NULL,Basic,38,722,8664,0,0,0,0,monthly,1
S-44a646,A-1e1b80,2023-12-26,NULL,Basic,50,950,11400,0,0,0,0,annual,1
S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,0,0,0,1,monthly,1
S-4f0027,A-ff79f2,2024-12-31,2024-12-31,Enterprise,19,3781,45372,0,0,0,1,annual,1
S-6c9ee1,A-6da850,2024-02-20,NULL,Enterprise,23,0,0,1,0,0,0,monthly,1
S-396a84,A-5b4ebb,2024-10-23,2024-11-27,Basic,21,399,4788,0,0,0,1,monthly,0
S-6bea24,A-3f9cc0,2024-07-06,NULL,Basic,22,0,0,1,0,0,0,monthly,1
S-259804,A-d4ac0e,2024-10-01,NULL,Basic,28,532,6384,0,0,0,0,annual,1
S-33e40e,A-86cdb4,2024-10-10,2024-12-29,Enterprise,2,398,4776,0,0,0,1,annual,1
S-fbd522,A-310452,2024-12-28,NULL,Pro,9,0,0,1,0,0,0,annual,0
S-bbafad,A-854864,2024-12-27,2024-12-30,Basic,20,380,4560,0,0,0,1,annual,1
S-3edc14,A-d82ef9,2024-10-04,NULL,Pro,26,0,0,1,0,0,0,annual,1
S-11e29d,A-71615e,2024-10-13,NULL,Basic,32,608,7296,0,0,0,0,monthly,1
S-1feff8,A-5fe118,2024-12-06,NULL,Enterprise,39,7761,93132,0,0,0,0,annual,1
S-61e86c,A-39ddf4,2024-12-07,NULL,Enterprise,40,7960,95520,0,0,0,0,annual,1
S-af41f0,A-e83938,2024-06-27,NULL,Basic,2,38,456,0,0,0,0,annual,0
S-65ae02,A-671f31,2024-12-14,NULL,Pro,59,2891,34692,0,0,0,0,annual,1
S-f7fccd,A-443b7c,2024-11-18,NULL,Basic,6,0,0,1,1,0,0,annual,1
S-7904d3,A-d4e0d4,2024-11-30,2024-12-03,Enterprise,117,23283,279396,0,0,0,1,monthly,1
S-48a54e,A-b2225d,2024-10-29,NULL,Basic,47,0,0,1,0,0,0,monthly,1
S-4a08bd,A-e08cd3,2024-10-11,NULL,Pro,67,3283,39396,0,0,0,0,annual,0
S-faa8ec,A-2e4581,2024-12-09,NULL,Basic,11,209,2508,0,0,0,0,monthly,1
S-8db104,A-4a267b,2024-10-18,NULL,Pro,25,1225,14700,0,0,1,0,monthly,1
S-3c0121,A-7c83a1,2024-12-30,NULL,Pro,24,1176,14112,0,0,0,0,monthly,1
S-13ca37,A-6843f2,2024-12-21,NULL,Pro,21,0,0,1,0,1,0,monthly,1
S-163e64,A-dfbd31,2024-11-08,NULL,Enterprise,62,12338,148056,0,0,0,0,monthly,1
S-4d1ba6,A-00cac8,2024-04-04,NULL,Enterprise,9,0,0,1,0,0,0,annual,0
S-e98d6b,A-309e54,2024-12-31,NULL,Basic,15,285,3420,0,0,0,0,annual,1
S-041624,A-6843f2,2024-12-12,NULL,Enterprise,21,4179,50148,0,0,0,0,monthly,1
S-b78829,A-2e4581,2024-11-12,NULL,Pro,20,980,11760,0,0,0,0,monthly,1
S-ca1c21,A-f92792,2024-12-02,NULL,Basic,9,0,0,1,0,0,0,annual,0
S-e1de58,A-ce550d,2024-10-28,NULL,Enterprise,35,6965,83580,0,1,0,0,annual,1
S-721fea,A-f6b2fb,2024-05-23,NULL,Pro,23,1127,13524,0,0,1,0,monthly,1
S-eaac58,A-ff3c73,2023-04-08,NULL,Basic,66,1254,15048,0,0,0,0,annual,1
S-1218fd,A-2d4502,2024-11-02,NULL,Basic,14,266,3192,0,1,0,0,monthly,0
S-936732,A-2f6a32,2024-11-28,2024-12-06,Pro,19,931,11172,0,0,0,1,annual,1
S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,0,0,0,1,monthly,0
S-fe3b71,A-44dc83,2024-09-24,NULL,Enterprise,37,0,0,1,0,0,0,monthly,1
S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,Basic,10,190,2280,0,0,0,1,annual,1
S-4afb53,A-40de06,2023-12-12,2024-12-29,Enterprise,28,5572,66864,0,0,0,1,monthly,1
S-851bbe,A-d77f4c,2024-04-22,NULL,Enterprise,94,18706,224472,0,1,0,0,annual,1
S-dab0d5,A-cc1d8d,2024-12-14,NULL,Basic,5,0,0,1,0,0,0,monthly,1
S-9aa190,A-9b9fe9,2024-10-17,NULL,Basic,33,627,7524,0,0,0,0,annual,1
S-f89d8c,A-88c6ca,2024-12-18,NULL,Pro,49,2401,28812,0,0,0,0,monthly,1
S-766a62,A-1ac5e0,2024-11-24,NULL,Enterprise,33,0,0,1,0,0,0,monthly,0
S-10134d,A-52dd88,2024-09-09,NULL,Enterprise,23,4577,54924,0,0,0,0,annual,1
S-85de7a,A-940b8b,2024-04-01,NULL,Enterprise,32,6368,76416,0,0,1,0,annual,1
S-85796b,A-f19409,2024-08-27,2024-10-31,Enterprise,23,4577,54924,0,0,0,1,monthly,1
S-c97464,A-f5641b,2024-10-16,NULL,Pro,38,1862,22344,0,0,0,0,monthly,0
S-6732ff,A-9affe6,2023-11-22,NULL,Pro,24,1176,14112,0,0,0,0,annual,1
S-aa20eb,A-6f8ad2,2024-09-08,NULL,Pro,1,49,588,0,0,0,0,monthly,0
S-b6aabe,A-902ef7,2024-12-25,NULL,Basic,83,1577,18924,0,0,0,0,annual,1
S-0ff339,A-6dee43,2024-01-21,NULL,Basic,12,228,2736,0,0,0,0,annual,1
S-4d664d,A-cc1d8d,2024-12-26,NULL,Pro,16,784,9408,0,1,1,0,annual,1
S-8deb5f,A-533452,2024-12-25,NULL,Basic,52,988,11856,0,0,0,0,annual,0
S-e2d4e9,A-18793f,2024-12-30,NULL,Basic,148,0,0,1,1,0,0,monthly,1
S-d8441d,A-8adedc,2024-03-16,NULL,Basic,4,76,912,0,0,0,0,annual,1
S-6d356a,A-425e76,2023-06-26,NULL,Basic,28,532,6384,0,0,0,0,annual,0
S-c005ac,A-92a3af,2024-09-18,NULL,Enterprise,25,4975,59700,0,0,0,0,annual,1
S-d0913e,A-eb2fdc,2024-11-14,NULL,Pro,31,1519,18228,0,0,0,0,monthly,1
S-4bef15,A-600734,2024-08-14,2024-09-22,Enterprise,29,0,0,1,0,0,1,annual,1
S-2573e4,A-7f8241,2024-01-25,NULL,Basic,60,1140,13680,0,0,0,0,monthly,1
S-80c291,A-712533,2024-01-06,NULL,Enterprise,18,3582,42984,0,0,0,0,annual,1
S-64acb8,A-3be56b,2024-08-21,NULL,Enterprise,30,5970,71640,0,0,0,0,monthly,1
S-13a948,A-d5a319,2024-07-24,NULL,Enterprise,15,2985,35820,0,1,0,0,monthly,0
S-081b81,A-b20d99,2024-01-30,NULL,Basic,20,380,4560,0,0,0,0,annual,1
S-68c537,A-9ee962,2024-06-06,NULL,Enterprise,29,5771,69252,0,0,0,0,monthly,1
S-3f82bc,A-d5a319,2023-10-30,NULL,Basic,15,0,0,1,0,1,0,monthly,1
S-fe6311,A-5c9849,2024-11-11,NULL,Enterprise,19,0,0,1,0,0,0,monthly,1
S-b3c4b8,A-c43359,2024-12-17,NULL,Pro,38,0,0,1,0,0,0,annual,1
S-8923b3,A-157070,2024-05-17,NULL,Basic,27,513,6156,0,0,0,0,annual,1
S-2410c6,A-5247b3,2024-05-11,NULL,Basic,33,627,7524,0,0,0,0,annual,0
S-7a06fe,A-5a92e7,2024-09-28,NULL,Pro,28,1372,16464,0,0,0,0,monthly,1
S-ceaca8,A-96e141,2024-08-10,NULL,Enterprise,24,4776,57312,0,0,0,0,monthly,1
S-02c3e7,A-7c4956,2024-08-14,NULL,Enterprise,6,1194,14328,0,0,0,0,annual,1
S-3a1a06,A-eb7fac,2024-07-09,NULL,Enterprise,14,2786,33432,0,0,0,0,monthly,1
S-7f5d03,A-22d9d2,2024-06-10,NULL,Pro,25,1225,14700,0,0,0,0,monthly,0
S-c10f0c,A-0f7d77,2024-11-11,NULL,Basic,6,114,1368,0,0,0,0,monthly,0
S-cdd00a,A-4e44e8,2024-08-23,NULL,Basic,38,722,8664,0,0,0,0,monthly,1
S-d57a67,A-2446e3,2024-07-14,NULL,Pro,27,1323,15876,0,0,0,0,monthly,1
S-f75ac4,A-faa28c,2024-02-17,NULL,Enterprise,48,0,0,1,0,0,0,annual,1
S-76c59f,A-0aaf6e,2024-08-01,NULL,Basic,24,456,5472,0,0,0,0,annual,1
S-0a15fa,A-bb1eaa,2024-12-12,NULL,Pro,25,1225,14700,0,0,0,0,annual,1
S-d0f5fb,A-39868b,2024-04-25,NULL,Enterprise,9,1791,21492,0,0,0,0,annual,0
S-ffb6cc,A-94d3da,2024-09-28,NULL,Enterprise,41,8159,97908,0,0,0,0,monthly,0
S-1b8300,A-faa28c,2024-05-23,NULL,Enterprise,48,0,0,1,1,0,0,monthly,1
S-88de1c,A-18793f,2024-12-24,NULL,Basic,148,2812,33744,0,0,0,0,annual,1
S-a88ffd,A-cc102e,2024-09-06,NULL,Pro,13,637,7644,0,0,0,0,annual,1
S-f12a54,A-f3ff05,2024-11-24,NULL,Pro,2,98,1176,0,0,0,0,monthly,1
S-f9b284,A-22d9d2,2024-07-02,NULL,Pro,8,392,4704,0,0,0,0,annual,1
S-61e53d,A-d42431,2024-11-15,2024-12-14,Basic,22,418,5016,0,0,0,1,annual,0
S-4c5456,A-149a69,2024-12-19,NULL,Basic,34,646,7752,0,0,0,0,monthly,1
S-b15cde,A-ee42db,2023-05-01,NULL,Pro,13,637,7644,0,0,0,0,monthly,1
S-9e6a18,A-7d514c,2024-11-06,NULL,Pro,21,1029,12348,0,1,0,0,monthly,0
S-0b2ac3,A-d792a6,2024-01-01,NULL,Basic,7,0,0,1,0,0,0,annual,1
S-cb8a5c,A-1e6fc3,2024-12-17,NULL,Enterprise,1,199,2388,0,0,0,0,annual,1
S-8b52b5,A-c1dfe1,2024-03-04,NULL,Enterprise,26,5174,62088,0,0,0,0,monthly,1
S-79b2bc,A-249769,2024-08-28,NULL,Basic,4,76,912,0,0,0,0,monthly,1
S-4fd9ba,A-d4ac0e,2024-09-10,NULL,Basic,24,456,5472,0,1,0,0,monthly,1
S-163e9d,A-ccabf0,2024-03-03,NULL,Enterprise,11,2189,26268,0,0,0,0,annual,1
S-8324d4,A-5a215a,2024-07-13,2024-08-03,Pro,87,0,0,1,0,0,1,monthly,1
S-22f848,A-993085,2023-10-15,NULL,Enterprise,49,9751,117012,0,0,0,0,annual,1
S-b32512,A-854864,2024-12-25,NULL,Enterprise,20,3980,47760,0,0,0,0,monthly,1
